url,title,ects_credits,responsible_department,course_leader,lecture_semester,teaching_language,duration,the_course_is_connected_to_the_following_study_programs,other_information,reduction_of_credits,student_evaluation,learning_outcomes,contents,teaching_and_learning_methods,examinations,offered_as_a_free_standing_course,admission_requirement_if_given_as_a_free_standing_course,recommended_previous_knowledge,examination_requirements,prerequisites,course_leaders
https://www.uia.no/english/studies/courses/2026/spring/ikt103.html,IKT103 Advanced Software Development (Spring 2026),5,Faculty of Engineering and Science,Christian Auby,Spring,Norwegian,½ year,"Computer Engineering, Bachelor's Programmme Artificial Intelligence, 5-year master programme",This course is taught in Norwegian and an English translation of the course description is not available.,This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition:,,,,,,,,,,,
https://www.uia.no/english/studies/courses/2026/spring/ikt104.html,IKT104 Microcontrollers (Spring 2026),5,Faculty of Engineering and Science,Christian Auby,Spring,Norwegian,½ year,"Computer Engineering, Bachelor's Programmme Electronics and Electrical Engineering, Bachelor's Programme",This course is taught in Norwegian and an English translation of the course description is not available.,This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition:,"The person responsible for the course decides, in cooperation with student representative, the form of student evaluation and whether the course is to have a midway or end of course evaluation in accordance with the quality system for education, chapter 4.1.",,,,,,,,,,
https://www.uia.no/english/studies/courses/2026/spring/ikt105.html,IKT105 Datamodellering og databaser (Spring 2026),7.5,Faculty of Engineering and Science,Halvard Øysæd,Spring,"This course is taught in Norwegian, and an English translation of the course description is not available.",½ year,"Computer Engineering, Bachelor's Programmme Artificial Intelligence, 5-year master programme",,This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition:,,,,,,,,,,,
https://www.uia.no/english/studies/courses/2026/spring/ikt112.html,IKT112 Concepts of Machine Learning (Spring 2026),5,Faculty of Engineering and Science,Rebekka Olsson Omslandseter,Spring,English,½ year,"Artificial Intelligence, 5-year master programme",,This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition:,"The person responsible for the course decides, in cooperation with student representative, the form of student evaluation and whether the course is to have a midway or end of course evaluation in accordance with the quality system for education, chapter 4.1.","Upon completion of this course, students will have: a basic understanding of the concepts of machine learning including supervised, unsupervised and reinforcement learning the ability to apply machine learning algorithms to data sets using a software package (e.g. WEKA) the ability to design experiments and to empirically evaluate and compare the performances of machine learning algorithms an appreciation of and familiarity with some current real-world applications of machine learning","Supervised learning: decision trees, artificial neural networks, Bayesian learning Unsupervised learning: K-means clustering, hierarchical clustering, principal components Introduction to reinforcement learning Real-world applications of machine learning (e.g. self-driving cars, medical imaging, natural language processing, etc.)","The course is organized with a combination of lectures, assignments, paper studies, labs, and report writing. The tasks are done individually or in small groups with group supervision.  The workload for the average student is approximately 135 hours.",3 hours written exam (50%). Portfolio assessment (50%). Information about the content of the portfolio will be given in Canvas at the start of the semester for each seminar. Graded assessment.,Yes. Subject to availability or capacity.,,,,,
https://www.uia.no/english/studies/courses/2026/spring/ikt115.html,IKT115 Introduction to Artificial Intelligence Technology (Spring 2026),2.5,Faculty of Engineering and Science,Rebekka Olsson Omslandseter,"Spring, Autumn",Norwegian,½ year,,,This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition:,"A digital evaluation will be organised in accordance with the quality system for education, chapter 4.1.","Upon completing the course, the student will: Have a fundamental understanding of artificial intelligence (AI), including its historical development, key concepts and terminology, main paradigms such as machine learning, deep learning, and generative AI, and an overview of practical applications. Be able to identify and describe relevant AI applications within their own field and communicate this in a clear and understandable manner. Be able to reflect on the opportunities and challenges of using AI and assess them in light of ethical considerations, societal impact, and the UN's sustainable development goals. Have developed a simple AI application using user-friendly tools, without the need for programming skills.","Artificial Intelligence (AI) is becoming increasingly prevalent in society, with rapid development across various fields. It is therefore important for students in different disciplines to gain insight into how the technology works and the opportunities and challenges it presents. This course provides a basic yet technically oriented introduction to artificial intelligence. Students will learn about what AI is, how the field has evolved, and the technologies underlying various types of AI systems. There is a particular emphasis on machine learning, deep learning, and generative AI, as well as how these technologies function and are applied in practice, including effective use of prompt engineering. Through a reflection assignment, students will assess how AI can be applied within their own field and critically reflect on the technology's possibilities and consequences. Through a project task, which does not require programming skills, students gain practical experience in developing a simple AI application using user-friendly tools. The course also includes guest lecturers who provide insight into specific and real-world applications of AI across different fields.","The course is taught with physical lectures at Campus Kristiansand. The lectures are streamed for students who cannot attend on campus. The course includes assignments that can be completed individually or in groups, depending on the student's preference. The expected workload is 67.5 hours.",Portfolio assessment. Graded pass/fail. More information about the portfolio will be given in Canvas. There will not be arranged a postponed exam for the portfolio.,No. Available as a continuing education course (IKT902),,,,,
https://www.uia.no/english/studies/courses/2026/spring/ikt122.html,IKT122 Success – AI Tools and Mindset for Goal Achievement (Spring 2026),2.5,Faculty of Engineering and Science,Andreas Prinz,Spring,English,½ year,Free-standing Courses,The course is offered to students i the FORTHEM university alliance.,,"The person responsible for the course decides, in cooperation with the student representative, the form of student evaluation and whether the course is to have a midway or end of course evaluation in accordance with the quality system for education, chapter 4.1.","After completion of the course, the student will: Understand prerequisites and techniques to achieve success Use positive habits to improve his/her success Understand motivation, reflection, and goals Be able to work goal-oriented towards success Be able to use and adapt AI tools to achieve own goals","The course is based on theoretical knowledge in brain science, but the main part is about learning good habits that lead to success. It may help to know the theory, but this is not the main part. Having passed the course, the student should be more successful than before. The course has the following parts: 1) Mindset, 2) Be prepared, 3) Goals, 4) Planning, 5) Persistence. In these topics, the following sub-topics will be covered: attitude, keeping in shape, SMART criteria, win-win, requirements, expectations, motivation, agility, handling mistakes, making good decisions, perspective, mental models, habits and habit change, time management, WOOP, AI tools, AI adaptations, positive psychology.","Video-Lectures, Meditations, Group discussions, Exercises, Homework, Supervision, Formative assessment.",Portfolio examination. Passed/not passed. The portfolio includes quizzes and reports answering exam exercises.,Yes,Higher Education Entrance Qualification,,,,
https://www.uia.no/english/studies/courses/2026/spring/ikt204.html,IKT204 Data communication (Spring 2026),7.5,Faculty of Engineering and Science,Sigurd Eskeland,Spring,Norwegian,½ year,"Computer Engineering, Bachelor's Programmme Electronics and Electrical Engineering, Bachelor's Programme Artificial Intelligence, 5-year master programme",,This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition:,"The person responsible for the course decides, in cooperation with student representative, the form of student evaluation and whether the course is to have a midway or end of course evaluation in accordance with the quality system for education, chapter 4.1.","Knowledge: - Have knowledge of the basic principles of data communication systems. - Know the network structures, network components and the most important protocols in an IP based data network Skills: - Understand the principles of how network components and protocols work together to enable data transport and online services. General competence: - Have the necessary foundation to work with problems and challenges in this field.","Basic principles, concepts, and standards with emphasis on modern Internet technology. Wired and wireless link layer, network structures, network components and access principles (Ethernet and 802.11). The network layer, IPv4 and IPv6, network structure, routing principles and software defined networks. Transport layer, UDP, TCP, reliable data transfer, flow control and saturation control. Advanced IP-based network architectures. Application layer protocols such as HTTP, SMTP and DNS as well as basic socket programming. Operational security, basic cryptography, and SSL programming.","Lectures, theory exercises and lab exercises. An engineer, teaching assistant and/or course teacher will be present. Training is provided in the use of course-related software and hardware. Expected workload for the average student is 27 hours per course credits.","Individual school examination, 3 hours. Graded assessment.",Yes. Subject to availability or capacity.,"Higher Education Entrance Qualification including mathematics R1 and R2 and physics Fysikk 1, or a pass in the preliminary course examination for engineers (which is also offered at University of Agder).","Basic networking and security understanding such as IKT100-G Network, security, and privacy.",Compulsory exercises must be approved in order to take the exam. Information about the compulsory assignments is given in Canvas at the start of the semester.,,
https://www.uia.no/english/studies/courses/2026/spring/ikt205.html,IKT205 Application development (Spring 2026),5,Faculty of Engineering and Science,Christian Auby,Spring,"This course is taught in Norwegian, and an English translation of the course description is not available.",½ year,"Computer Engineering, Bachelor's Programmme",,This course’s contents overlap with the following courses. A reduction of credits will occur if one of these courses is taken in addition:,,,,,,,,,,,
https://www.uia.no/english/studies/courses/2026/spring/ikt206.html,IKT206 DevOps (Spring 2026),5,Faculty of Engineering and Science,Christian Auby,Spring,Norwegian,½ year,"Computer Engineering, Bachelor's Programmme",This course is taught in Norwegian and an English translation of the course description is not available.,,,,,,,,,,,,
https://www.uia.no/english/studies/courses/2026/spring/ikt215.html,IKT215 Pattern Recognition (Spring 2026),10,Faculty of Engineering and Science,Manuel Sathyajith Mathew,Spring,The primary language for this course is English.,½ year,"Artificial Intelligence, 5-year master programme",,,"The person responsible for the course decides, in cooperation with student representative, the form of student evaluation and whether the course is to have a midway or end of course evaluation in accordance with the quality system for education, chapter 4.1.","After completing the course, the student should have practical skills in statistical pattern recognition have practical skills in syntactic pattern recognition be able to solve practical problems using pattern recognition-based tools be able to develop pattern recognition algorithms from publicly available machine learning datasets be able to do basic data analysis and preprocessing of machine learning data","This course will introduce students to the principles of pattern recognition. The course includes a review of the principles of probability and Bayes decision theory, and criteria for classification. We will then consider the theory of maximum likelihood and Bayesian learning for parametric pattern recognition. The course also focuses on non-parametric methods such as classification using nearest neighbour rules and discriminant functions.","The course is organized with a combination of lectures, assignments, paper studies, labs, and report writing. The tasks are done individually or in small groups with group supervision. The work load for the average student is approximately 270 hours.",Graded portfolio assessment. Information about the content of the portfolio will be given in Canvas at the start of the semester for each seminar.,"Yes, if there are places available.","Higher Education Entrance Qualification including mathematics R1 and R2 and physics Fysikk 1, or a pass in the preliminary course examination for engineers (which is also offered at University of Agder).","A general knowledge of statistics is required, equivalent to MA-223 Statistics.",,,
